# The English for the name on the Location plate -- the banner that reads
# スルメ山 or 首都　ラングバウ across the top of the quest map. Hand-written; this
# is the file to edit.
#
# Columns: the Japanese <TAB> the English.
#
# The Japanese is the key, and the key is what the game's own table says: the
# build writes the English into a copy of archives/Rance10EX_v1_04/5_クエストデータ.x
# on the way past and leaves the file itself as the game shipped it. A name with
# no English keeps its Japanese, which is what the plate drew before this file
# existed. modules/PlaceNames.js and docs/place-names.md have the rest.
#
# Three rows have no English on purpose:
#
#   ランス城   is not a name here but a sentinel. QuestMapParamAccessor@PlaceName::get
#              compares the field against it and, where it matches, draws
#              RanceCastlePositionString instead -- ランス城空中, ＪＡＰＡＮ城, ランス砦
#              or ランス城, whichever the castle is at the time. English here
#              would freeze the plate on one of the four. Those literals live in
#              the .ain and are a separate job; docs/place-names.md says which.
#   −−−        is the game's own blank, three dashes rather than a word.
#   ？？？     and ？？？？ are the game withholding the name.
#
# The plate is 458 pixels wide, the name is centred in it at 32 pixels, and the
# word "Location" occupies the left 80. So a name past about 300 pixels starts to
# run over that label and one past 458 leaves the plate -- neither clips, and the
# build reports both rather than cutting anything. Fifty-five of the game's own
# names are already over the label, so crossing it is not by itself wrong.
ポポンのお顔は真っ黒け	Popon's Face Is Pitch Black
自動車事故に逢いました、飛行機事故にも合いました	I Was in a Car Crash, and a Plane Crash Too
ツギガセ	Tsugigase
択捉島の秘密基地	Etorofu Secret Base
南樺太の秘密基地	South Sakhalin Base
台湾の秘密基地	Taiwan Secret Base
トレードセンター前	Outside the Trade Center
中之島公園	Nakanoshima Park
山上遊園地	Hilltop Amusement Park
ランス城	
破壊された都市の郊外	Ruined City Outskirts
リーザス	Leazas
フチュウ盆地	Fuchuu Basin
リーザス城	Leazas Castle
首都　ラングバウ	Capital: Lang Bau
ヘルマン	Helman
首都　ラグナロックアーク	Capital: Ragnarok Arc
ゼス	Zeth
臨時首都　Ｍランド	Interim Capital: M-Land
自由都市	Free Cities
カコガワ農園	Kakogawa Farm
最果ての村	Farthest Village
ジフテリアの港	Diphteria Harbor
海　−航海１日目−	At Sea: Day 1
海　−航海２日目−	At Sea: Day 2
海　−航海３日目−	At Sea: Day 3
海　−航海４日目−	At Sea: Day 4
竜宮島？	Dragon Palace Island?
海　−航海６日目−	At Sea: Day 6
魔物界の海岸	Monster Realm Shore
海　−航海７日目−	At Sea: Day 7
