# The name of every achievement on the 実績 screen, in English. Hand-written;
# this is the file to edit.
#
# Columns: the Japanese <TAB> the English name.
#
# The Japanese is a whole Id from archives/Rance10EX_v1_04/40_実績情報.x, padding and
# ★ tail included, copied exactly -- that Id is the key the save file records a
# completed trophy under and the key the ex-tree stores it as, so it is never
# translated anywhere. docs/trophy-names.md says what happens if it is.
#
# The English is the *name only*. The bonus tail comes from
# glossaries/trophy_bonus_glossary.tsv and the run of spaces that pins it to its
# column is measured by the build, so writing one here would be overwritten.
# A row left blank stays Japanese in game.
#
# Eighteen full-width characters is what the name has before the tail column
# starts -- around thirty-four letters of English. The five rows with no tail
# have the whole line, twenty-eight. The build measures each one and says which
# are over rather than cutting them.
#
# Every proper noun here comes from glossaries/mistranslated_names.json,
# glossaries/card_name_glossary.tsv, glossaries/race_name_glossary.tsv or
# glossaries/summary_terms.tsv -- リーザス is Leazas, 魔人 is a Fiend, 魔王 is the
# Demon King, 松下姫 is Princess Panasonic. The English titles that used to sit
# in the 説明 column of the ex-table said Rizeas, Demon Lord and Princess
# Matsushita for those; they were not written against the tables.

クリアＡ　海から　　　　　　　　　　★ＣＰ＋１	Clear A: From the Sea
クリアＡ　空から　　　　　　　　　　★ＣＰ＋１	Clear A: From the Sky
クリアＡ　強行突破　　　　　　　　　★ＣＰ＋１	Clear A: Forced Breakthrough
クリアＡ　魔物界大侵攻　　　　　　　★ＣＰ＋１	Clear A: Demon World Invasion
クリアＢ　魔王を倒したが　　　　　　★ＣＰ＋１	Clear B: Demon King Slain, but…
クリアＢ　タイムカプセル　　　　　　★ＣＰ＋１	Clear B: Time Capsule
クリアＢ　地底大作戦　　　　　　　　★ＣＰ＋１	Clear B: Underground Operation
クリアＢ　魔王美樹　　　　　　　　　★ＣＰ＋１	Clear B: Demon King Miki
クリアＢ　神の真実　　　　　　　　　★ＣＰ＋１	Clear B: The Truth of God
クリアＢ　異界の魔王　　　　　　　　★ＣＰ＋１	Clear B: Otherworld Demon King
クリアＣ　魔王ケイブリス　　　　　　★ＣＰ＋１	Clear C: Demon King Kayblis
クリアＣ　勇者の成就　　　　　　　　★ＣＰ＋１	Clear C: The Hero Fulfilled
