# 32199	０２／戦闘／チュートリアル４	
* Rocky Bank	ロッキー	Male
* Rance	ランス	Male
* Megas Horus	メガッス	Male
* Sill Plain	シィル	Female

129113	Rocky Bank	ガーン	「ひーっ、こ、怖いけどおら頑張るだー！」	「Hii, it's scary but I'll try hard!」

129114	Rance	だる顔	「うるさい、騒ぐな、あっち行け」	「Shut up, stop making noise, go away.」

129115	Megas Horus	基本	「これこれ、ランス殿。	「Now now, Rance-dono.
129116	+		　仲間を無下に扱うものではないですぞ。ﾇﾇﾇ」	　You shouldn't treat your comrades so roughly. Nunu.」

129117	Megas Horus		「一緒に力を合わせて戦わねば。ﾇﾇﾇ」	　We must fight together with our combined strength. Nunu.」

129118	Rance		「ロッキーなんか増えてもやることないぞ。	「Even if Rocky joins there's nothing for him to do.
129119	+		　俺が一番強いんだからな」	　I'm the strongest after all.」

129120	Rance	笑顔	「貴重なAPは俺様だけで使うのだ！	「I'll use all the precious AP by myself!
129121	+		　がははははははは！」	　Gahahahahahaha!」

129122	Megas Horus	基本	「残念ながらそれでは強敵は倒せませんぞ。ﾇﾇﾇ」	「Unfortunately you can't defeat strong enemies that way. Nunu.」

129123	Rance		「ならどうしろってんだ」	「Then what should I do?」

129124	Megas Horus		「コンボというものを試してみましょう。ﾇﾇﾇ」	「Let's try something called combos. Nunu.」

129125	Rance		「……なにそれ？」	「...What is that?」

129126	Megas Horus		「コンボとは攻撃を重ねるほどに	「Combos are something that builds
129127	+		　増えていくもののことです。ﾇﾇﾇ」	　the more attacks you stack. Nunu.」

129128	Megas Horus		「そしてコンボは増えれば増えるほど、	「And the more combos you build,
129129	+		　攻撃の威力も増すのですじゃ。ﾇﾇﾇ」	　the stronger your attacks become. Nunu.」

129130	Megas Horus		「ランス殿の攻撃も、	「Rance-dono's attacks too,
129131	+		　儂らでまずコンボを増やしてからの方が、	　will be even more powerful
129132	+		　更に強力な一撃となりましょう。ﾇﾇﾇ」	　after we build up the combo first. Nunu.」

129133	Rance		「むむむ……そういうものだったのか……」	「Hmm... so that's how it works...」

129134	Sill Plain		「ランス様。	「Rance-sama.
129135	+		　皆さんで一緒に力を合わせて頑張りましょう」	　Let's all work together with our strength.」

129136	Rance	だる顔	「ちっ、やるだけやってみるか」	「Tch, guess I'll try it.」

129137	Rance	基本	「えーとつまり、弱い攻撃からかまして	「So basically, start with weak attacks
129138	+		　コンボを増やしてった方がいいんだな、	　to build combos, right,
129139	+		　ふふん、簡単簡単」	　fufun, easy peasy.」
