# 31708	闇鷺／キャライベントＣ	
* Kentou Kanami	かなみ	Female
* Dark Heron	闇鷺	Female
* Freya Idun	フレイア	Female

97814	Kentou Kanami	「…………」	「............」

97815	Kentou Kanami	「……ドキドキ、ドキドキ」	「...Thump thump, thump thump.」

97816	Dark Heron	「…………」	「............」

97817	-	何故か、かなみと闇鷺が一緒にいた。	For some reason, Kanami and Dark Heron were together.

97818	Kentou Kanami~	（う、うう、たまたま一緒になっちゃったけど、	（U-Ugh, we ended up together by chance,
97819	+	　話題がないなぁ……）	　but I have nothing to talk about...）

97820	Kentou Kanami~	（そもそも、私と闇鷺さんの関係ってなに？	（What is my relationship with Dark Heron anyway?
97821	+	　フレイアさんが私の部下だから、	　Since Freya is my subordinate,
97822	+	　部下の部下になる……のかしら……？）	　does that make her my subordinate's subordinate...?）

97823	Kentou Kanami	「あ、あの……」	「U-Um...」

97824	Dark Heron	「はい？」	「Yes?」

97825	Kentou Kanami	「今までお話する機会がありませんでしたが、	「We haven't had a chance to talk before,
97826	+	　これからは、その……	　but from now on...
97827	+	　出来れば仲良くしていきましょうね」	　let's try to get along.」

97828	Dark Heron	「…………」	「............」

97829	Dark Heron	「何故です？」	「Why?」

97830	Kentou Kanami	「え、いえ……だって……」	「Eh, well... because...」

97831	Dark Heron	「頭領は確かに、かなみさんの部下ですが、	「The boss is indeed your subordinate, Kanami-san,
97832	+	　私は貴方の部下になったつもりはありません」	　but I have no intention of becoming yours.」

97833	Kentou Kanami	「は、はい、すみません！？」	「Y-Yes, sorry!?」

97834	Kentou Kanami~	（あ、あれ？　なにか怒ってる……！？）	（Eh? Is she angry...!?）

97835	Dark Heron	「…………」	「............」

97836	-	闇鷺はジッとかなみを見つめていた。	Dark Heron stared fixedly at Kanami.

97837	Kentou Kanami~	（ひっ――！？）	（Hii――!?）

97838	-	瞳が前髪で隠れている為、	Because her eyes were hidden by her bangs,
97839	+	かなみに対しどのような感情を抱いているか、	Kanami couldn't tell what emotions
97840	+	それすら分からない。	she held toward her.

97841	-	それがまた、かなみの恐怖を煽った。	That only fueled Kanami's fear more.

97842	Kentou Kanami~	（フレイアさんも怖いけど……	（Freya-san is scary, but...
97843	+	　や、闇鷺さんも怖い……）	　Dark Heron-san is scary too...）

97844	Freya Idun	「なにしてるの、闇鷺？」	「What are you doing, Dark Heron?」

97845	Dark Heron	「と、頭領！？」	「B-Boss!?」

97846	Freya Idun	「見たところ、隊長と話をしていたようだけど、	「It looked like you were talking to the captain,
97847	+	　なんの話をしていたのかしら？」	　what were you talking about?」

97848	Dark Heron	「い、いえ、これは、その……」	「N-No, this is, um...」

97849	Freya Idun	「…………」	「............」

97850	Dark Heron	「……う、うう」	「...U-Uu」

97851	-	まるで叱られた子供のように、	Like a scolded child,
97852	+	闇鷺は俯いていた。	Dark Heron looked down.

97853	Freya Idun	「まあいいわ。	「Whatever.
97854	+	　少し席を外していなさい」	　Leave us for a bit.」

97855	Dark Heron	「は、はい、分かりました。	「Y-Yes, understood.
97856	+	　失礼します」	　Excuse me.」

97857	-	命じられた途端、闇鷺がアサシンらしい	The moment she was ordered, Dark Heron disappeared
97858	+	素早い身のこなしでその場から消えた。	with assassin-like swiftness.

97859	Freya Idun	「まったく、闇鷺ったら……	「Good grief, Dark Heron...
97860	+	　アサシンなのに困ったものね」	　She's an assassin but such a handful.」

97861	Kentou Kanami	「どういう意味ですか？」	「What do you mean?」

97862	Freya Idun	「あの子ね、私が好きだから、	「That girl likes me,
97863	+	　隊長に嫉妬しているのよ」	　so she's jealous of you, captain.」

97864	Kentou Kanami	「あ、ああ、やっぱり……	「Ah, so that's it...
97865	+	　フレイアさん慕われているんですね……」	　She's really attached to you, Freya-san...」

97866	Freya Idun	「違うわよ」	「No, not like that.」

97867	Kentou Kanami	「？？」	「??」

97868	Freya Idun	「好きというのは文字通りの意味よ」	「I mean she literally likes me.」

97869	Kentou Kanami	「それって……」	「That means...」

