# 31146	２４０／２１／チューリップ３号運搬	
* Maria Custard	マリア	Female
* Rance	ランス	Male
* Sill Plain	シィル	Female
* Mill Yorks	ミル	Female
* Rance	ダークランス	Male
* Kentou Kanami	かなみ	Female

55441	Maria Custard	基本	「あ…………」	「Ah............」

55442	-		二人が歩いていると、遠くから声が聞こえてきた。	As the two walked, voices could be heard from afar.

55443	Rance	怒り	「マリアーーーー！　おい、マリア！	「Mariaaaaaa! Hey, Maria!
55444	+		　どこだーー！」	　Where are you!」

55445	Sill Plain	慌て	「ど、どこかにいらっしゃいますかー、	「Maria-saaan, are you somewhere around hereー,
55446	+		　マリアさーん！」	　Maria-saaan!」

55447	Mill Yorks	怒	「マリアーーーー！　どーーこーーーー！？」	「Mariaaaaaa! Whereeee are you!?」

55448	-		ランス一行が、声を張り上げながら	Rance's group was shouting loudly
55449	+		洞窟の中を進んできていた。	as they advanced through the cave.

55450	Maria Custard	基本	「あ、来てくれてたんだ……よかった」	「Ah, they came for me... Thank goodness.」

55451	Rance		「ん。じゃあ、ここまでだな」	「Yeah. This is as far as I go.」

55452	Maria Custard		「え、そう？　せっかく助けてくれたんだから……」	「Eh, really? You helped me and all...」

55453	Rance		「アイツと会いたくない」	「I don't want to meet that guy.」

55454	-		ぴしゃりと言って、ダークランスは	He said firmly and took
55455	+		マリアから、一歩離れた。	a step away from Maria.

55456	Rance		「俺とアイツは、まだ決着を付ける時じゃない。	「It's not time for me and him to settle things yet.
55457	+		　マリアは戻れ」	　Go back, Maria.」

55458	Maria Custard		「ん……戻る、けど」	「Nn... I'll go back, but...」

55459	Rance		「ああ、それから俺に助けられたなんて言うなよ」	「Yeah, and don't tell him I helped you.」

55460	Maria Custard		「え、どうして？」	「Eh, why?」

55461	Rance		「間違っても、借りを作られた、なんて	「I don't want him thinking
55462	+		　アイツに思われたくない」	　I owe him anything.」

55463	Maria Custard	あかんわ	「ひねくれてるなぁ……	「You're so twisted...
55464	+		　そういうところはランスによく似てるわ」	　You're a lot like Rance in that way.」

55465	Rance	基本	「けっ。あの野郎には実力で、	「Tch. I have to beat that bastard
55466	+		　ぐうの音も出ない状態で勝たなきゃ意味がない」	　with pure strength so he can't even argue.」

55467	Rance		「………………それに、そういうつもりで	「............Besides, I didn't help you
55468	+		　助けたんじゃねぇし」	　with that in mind.」

55469	Maria Custard		「……………………」	「........................」

55470	Rance	怒り	「ほっ、ほら、いけよ！　俺はこの迷宮、	「H-Hey, go already! I have to go
55471	+		　一番奥まで行かなきゃならねーんだから！」	　all the way to the deepest part of this labyrinth!」

55472	Maria Custard	あかんわ	「わわっ……！　わ、分かったわよ、行くって！」	「Wah...! O-Okay, I'm going!」

55473	-		ダークランスはマリアの背中をぐいぐいと押して、	Dark Rance pushed Maria's back firmly,
55474	+		最後には突き飛ばすようにしてから、	and finally gave her a shove,
55475	+		迷宮の奥へと走り始めた。	then ran deeper into the labyrinth.

55476	Maria Custard	基本	「ダークランス！」	「Dark Rance!」

55477	-		背中に呼びかけると、少年悪魔の足が止まった。	When she called out, the young demon stopped.

55478	Maria Custard		「……ありがと。助かっちゃった」	「...Thanks. You saved me.」

55479	Rance		「……ふん、きまぐれだ」	「...Hmph, just a whim.」

55480	-		そのまま、今度は止まらずに走り去っていった。	This time he didn't stop and ran off.

55481	Rance	怒り	「おーーーい、マリアーーー！	「Heyyyy, Mariaaaa!
55482	+		　さっさと出てこんと3サイズと体重を	　If you don't come out soon I'll announce
55483	+		　公表するぞー！」	　your three sizes and weight!」

55484	Maria Custard	基本	「…………なんでそんなの、ランスが知ってんの」	「............Why does Rance even know that?」

55485	Rance	驚き	「おっ……」	「Oh...」

55486	Maria Custard	基本	「来てくれたんだ。ありがと。	「You came. Thanks.
55487	+		　迷惑かけてゴメンね」	　Sorry for the trouble.」

55488	Sill Plain	嬉し泣き	「マリアさん！」	「Maria-san!」

55489	Rance	真剣	「ふぅ……ったく、うろちょろしやがって。	「Phew... Geez, wandering around like that.
55490	+		　手間かけさせるんじゃない」	　Don't make us go through all this trouble.」

55491	Sill Plain	泣き	「はぁ……よかったです、ご無事で……」	「Haa... I'm so glad you're safe...」

55492	Kentou Kanami	基本	「あれ、マリアさん。チューリップ1号は？」	「Hey Maria-san. Where's Tulip No. 1?」

55493	Maria Custard		「あっ……うん、無くしちゃったみたいで……	「Ah... Yeah, I seem to have lost it...
55494	+		　後で予備を用意しなくちゃ」	　I'll have to prepare a spare later.」

55495	Kentou Kanami		「えっ、丸腰だったの？	「Eh, you were unarmed?
55496	+		　ほんと、よく無事で……」	　You're really lucky to be safe...」

55497	Maria Custard		「あーー……うん、なんとかね。	「Aah... Yeah, somehow.
55498	+		　あはははは……」	　Ahahahaha...」

55499	-		一瞬、マリアは背中越しに顔だけ振り向いた。	For a moment, Maria glanced back over her shoulder.
55500	+		……当然、そこにはもう誰の姿もない。	...Of course, no one was there anymore.

55501	Rance		「……マリア？　なんだ、どうかしたのか」	「...Maria? What's wrong?」

55502	Maria Custard	笑顔	「えっ！？　あ、う、ううん！	「Eh!? Ah, n-no!
55503	+		　なんでもないわよ」	　It's nothing.」

55504	Maria Custard	基本	「あっ、そうだランス！	「Ah, right Rance!
55505	+		　さっきのロボット、倒したんでしょ？	　You defeated those robots earlier, right?
55506	+		　破片あるよね？」	　There are pieces, aren't there?」

55507	Rance		「お、おお。お前の工場に全部散らばってるぞ」	「Y-Yeah. They're all scattered in your factory.」

55508	Maria Custard	まかせて	「よーし、全部持って帰るわよ。	「Alright, we'll take everything back.
55509	+		　あの魔人の技術、全部解析しちゃうんだから！	　I'll analyze all of that Fiend's technology!
55510	+		　さ、行きましょー！」	　Let's go!」

55511	-		マリアは元気に、入口から街へと駆け出していった。	Maria ran energetically from the entrance toward the city.

55512	Rance	だる顔	「なーんだ。マリアの奴、あいっかわらずだな……	「What the... Maria is the same as always...
55513	+		　ちょぴっとでも心配して損したわ」	　I worried a little for nothing.」

55514	Sill Plain	考え中	「そう、でしょうか……？	「Is that so...?
55515	+		　なんだか、少しだけ様子が……」	　She seemed a little different somehow...」
