# 33070	６１０／魔人サテラ／戦闘前	
* Lelikov Helman	レリコフ２	Female
* Masou Shizuka	志津香２	Female
* Mix Tou	ミックス２	Female
* Nagata-kun	長田君２	Male
* Yamamoto Rangi	乱義２	Male
* Zance Leazas	ザンス２	Male
* Rocky Bank	ロッキー２	Male
* Satella	サテラ	Female
* Arms Arc	アームズ２	Female
* Reset Kalar	リセット２	Female

197907	Lelikov Helman	しょんぼり	「へひっ、へひっ……	「Hehi, hehi...
197908	+		　なんとなく……息が詰まるね……」	　Somehow... it's hard to breathe...」

197909	Masou Shizuka	基本	「もう標高はかなりになった筈……	「We must be at quite a high altitude now...
197910	+		　単純に空気が薄いんでしょうね……」	　The air is probably just thinner...」

197911	Mix Tou		「これはそれだけじゃないでしょうけどね」	「It's probably not just that though.」

197912	-		ミックスが翔竜山の頂上の方を見上げる。	Mix looked up toward the summit of Mount Shoryu.

197913	-		その視線の先にあるのは、	At the end of her gaze
197914	+		魔王の居城であるアメージング城。	was Amazing Castle, the Demon King's stronghold.

197915	-		魔王がいるという事実からそう錯覚するのか、	Whether from the fact that the Demon King is there,
197916	+		はたまた敵の本拠地にいる緊張か、	or the tension of being in the enemy's base,
197917	+		とにかくあなた達は息苦しさを感じていた。	you all felt a tightness in your chest.

197918	Mix Tou		「まあ、先も長いんだしゆっくり行きましょう」	「Well, the road is still long, so let's take it slow.」

197919	?		『いや、ここで行き止まりだ……』	『No, this is a dead end...』

197920	Nagata-kun		「なっ！？」	「What!?」

197921	-		大きな音を立てて、	With a loud noise,
197922	+		あなた達の目の前にある大岩が動き出す。	the massive boulder in front of you began to move.

197923	?		『貴様らはここで……殺す！』	『You will die here...!』

197924	-		大岩が人の形を取り、あなた達に殺意を向けてきた。	The boulder took human shape and directed killing intent at you.

197925	Nagata-kun		「ぎゃー！　ストーンガーディアンだー！」	「Gyaa! It's a Stone Guardian!」

197926	Yamamoto Rangi		「いや、これは先程も話した、	「No, this is the one I mentioned earlier,
197927	+		　スーパーXタイプのストーンガーディアンだ」	　the Super X type Stone Guardian.」

197928	Nagata-kun		「さっき聞かなかったけど、なにそれ！？」	「You didn't mention it earlier, what is that!?」

197929	Zance Leazas		「強いってことだよ。	「It means it's strong.
197930	+		　さあ戦闘だ、構えろ！」	　Get ready for battle!」

197931	-		　	　
197932	+		　　＜ドォォォォォォン！！！！＞	　　<DOOOOOOOON!!!!>

197933	Rocky Bank		「わわわっ！？　次はなんだすー！？」	「Wawawah!? What's next!?」

197934	-		ストーンガーディアンとの戦闘を	Just as you were about to start fighting
197935	+		開始しようとした瞬間、	the Stone Guardian,
197936	+		空から何かが降ってきた。	something fell from the sky.

197937	-		もうもうと立ちこめる土煙の中、	In the thick cloud of dust,
197938	+		降ってきたものの正体がおぼろげに現れる。	the identity of what fell slowly revealed itself.

197939	-		姿を見せたのは巨大な人型の石塊-ｲｼｸﾚ-。	What appeared was a giant humanoid stone mass.

197940	Satella		「…………」	「............」

197941	-		そして、その石塊の肩に乗った一人の女性。	And on its shoulder rode a woman.

197942	Satella		「ふんっ……！」	「Hmph...!」

197943	-		バサリと、サテラが炎のように	With a flourish, Satella swept up
197944	+		真っ赤なポニーテールを一つにまとめて掻き上げる。	her flame-red ponytail.

197945	Arms Arc		「これはこれは……	「Well well...
197946	+		　厄介な魔人が出て来たな……」	　A troublesome Fiend has appeared...」

