# 31314	２４１／ＫＤ接触	
* Sill Plain	シィル	Female
* Mill Yorks	ミル	Female
* Alkanese Rize	アルカネーゼ	Female
* Rance	ランス	Male
* KD	ＫＤ	Male
* Hunty Kalar	ハンティ	Female
* Patton Helman	パットン	Male
* Cantel	キャンテル	Male

66159	Sill Plain	泣き	「はぁ、はぁ……っ……」	「Haa... haa...」

66160	-		吐く息が、辛い。	Her breathing was painful.

66161	Mill Yorks	泣	「ふーっ、ふーっ……」	「Fuu... fuu...」

66162	-		肌に触れる空気が、切れるように冷たい。	The air touching her skin was painfully cold.

66163	Alkanese Rize	怒り	「お……おおし、もう……少しっ……！」	「A-alright... just... a little more...!」

66164	-		鍛え抜かれた精鋭、魔人討伐隊であっても、	Even the highly trained elite Fiend Extermination Squad
66165	+		身を削るほどの苦しみを、越えて。	had to push through agonizing pain.

66166	Rance	笑顔	「っ、がははははははは！	「Gahahahahahaha!
66167	+		　翔竜山、制覇ーーーーーーっ！」	　I've conquered Mt. Soaring Dragon-----!」

66168	-		一行は、その頂に達した。	The group reached the summit.

66169	KD	基本	「ぅおめでとうだにゃーーーーー！」	「Congratulations nya-----!」

66170	Rance	怒り	「出たかモンスターーーーーーー！！」	「A monster appeared-----!!」

66171	KD	基本	「う゛にゃーーーーーーっ！！」	「Unya-----!!」

66172	-		ランスは出会い頭に、奇妙な生き物を叩き斬った。	Rance slashed the strange creature the moment he saw it.

66173	KD		「ううん…………	「Uun............
66174	+		　今日の踏破者は、ばいおれんすでおじゃる」	　Today's conqueror has violence nya.」

66175	Rance	驚き	「げっ、生きてやがる」	「Geh, it's still alive.」

66176	KD	基本	「こんな所まで人間がやってくるとは	「Humans coming all the way here
66177	+		　珍しいにゃあ」	　is rare nya.」

66178	Rance	だる顔	「……なんだっけこいつ。	「...What was this thing again.
66179	+		　なんか、前もいたような……」	　Feels like it was here before...」

66180	Alkanese Rize	困り	「ああ、いたいた。	「Ah, yeah it was here.
66181	+		　なーんか変なクイズ出してくる、	　It gives weird quizzes,
66182	+		　にゃんにゃんみたいな……」	　like some nya-nya thing...」

66183	KD	基本	「おらはＫ・Ｄ！　キング・ドラゴンだにゃ。	「I'm K・D! King Dragon nya.
66184	+		　ん〜、二度ここに到達する人間とは珍しい」	　N~, humans reaching here twice is rare.」

66185	Hunty Kalar	困り	「…………うぅぅ〜〜〜ん…………？」	「............Uuuu~~~n............?」

66186	Patton Helman	基本	「あん？　どした、ハンティ」	「Hm? What's wrong, Hunty?」

66187	Hunty Kalar	呆れ	「いや……自分の記憶との齟齬に、ちょっとね……	「No... There's a bit of a discrepancy with my memories...
66188	+		　こんなん、だったっけ……？	　Was it like this...?
66189	+		　偽物……いや、でもこれは…………」	　A fake... no, but this is............」

66190	Patton Helman~	基本	（…………ついにボケたか、とかいうと	（............If I say she's finally gone senile,
66191	+		　雷が飛んできそうだな……）	　it feels like lightning will strike...）

66192	Hunty Kalar	呆れ	「雷撃！」	「Lightning strike!」

66193	Patton Helman	叫び	「あだだだだだだ！　なんだよ！」	「Owowowowow! What the hell!」

66194	Hunty Kalar	呆れ	「言葉にしなくっても	「You don't even have to say it
66195	+		　伝わってくるんだっての」	　I can still tell.」

66196	Cantel~	基本	（…………まあ。	（............Well.
66197	+		　戸惑うのも、無理はないがね……）	　It's understandable to be confused...）

66198	KD		「さあさあ。まろとクイズで勝負にゃ！	「Now now. Let's have a quiz battle with me nya!
66199	+		　見事勝てば、豪華……」	　If you win splendidly, a luxurious...」

66200	Rance	だる顔	「めんどくさい」	「Too much hassle.」

66201	KD	基本	「おじゃっ！？」	「Oja!?」

66202	Rance	だる顔	「空気の読めんやつだな。	「You can't read the room at all.
66203	+		　こんな世界の危機に、	　In the middle of a world crisis,
66204	+		　呑気にクイズなんかしてる場合か」	　is this the time to be doing quizzes?」

66205	KD	基本	「い、いや、そこはそれ、様式美というか……	「W-well, that's part of the style...
66206	+		　それに世界の危機に呑気に登山しているのは……」	　Besides, casually climbing a mountain during a world crisis is...」

66207	Rance	イライラ	「ええいうるさい、やかましい。	「Shut up, noisy.
66208	+		　わざわざここまで来てやったんだ。なんか寄越せ」	　I came all the way here. Give me something.」

66209	KD	基本	「カツアゲしにこの山を登ってくるとは……	「To climb this mountain just to extort...
66210	+		　計り知れない人間もいるものにゃあ……」	　There are some unfathomable humans nya...」

66211	-		なぜかKDは打ちのめされたような表情になった。	For some reason KD looked utterly defeated.

66212	KD		「オーケオーケ。仕方ないでおじゃる。	「Okay okay. Can't be helped nya.
66213	+		　ここまで来た事に免じて、財宝を授けるにゃ。	　Since you came all this way, I'll grant you treasure nya.
66214	+		　好きなの選ぶでおじゃる」	　Choose whatever you like.」
