# 30868	２５８／１／作戦会議	
* Rance	ランス	Male
* Arlcoate Marius	アールコート	Female
* Urza Pranaice	ウルザ	Female
* Cream Ganoblade	クリーム	Female
* Lia Parapara Leazas	リア	Female
* Maris Amaryllis	マリス	Female
* Ex Banquet	エクス	Male
* Barres Province	バレス	Male
* Rick Addison	リック	Male
* Menad Shisei	メナド	Female
* Kentou Kanami	かなみ	Female
* Sheila Helman	シーラ	Female
* Biscuitta Burns	ビスケッタ	Female
* Peruele Kalette	ペルエレ	Female
* Hubert Lipton	ヒューバート	Male
* Rolex Gadras	ロレックス	Male
* Oruore the 3rd	オルオレ	Male
* Amitos Armitage	アミトス	Female
* Magic the Gandhi	マジック	Female
* Yamada Chizuko	千鶴子	Female
* Uspira Shintou	ウスピラ	Female
* Saias Crown	サイアス	Male
* Kabachahn the Lightning	カバッハーン	Male
* Ragnarokarc Super Gandhi	ガンジー	Male
* Wichita Skate	ウィチタ	Female
* Kaoru Quincy Kagura	カオル	Female
* Copandon Dott	コパンドン	Female
* Eleanor Ran	エレノア	Female
* Nagi su Ragarl	子供ナギ	Female
* Masou Shizuka	子供志津香	Female
* Maria Custard	マリア	Female
* Kasumi K. Kasumi	カスミ	Female
* Naoe Ai	愛	Female
* Uesugi Kenshin	謙信	Female
* Oda Kouhime	香姫	Female
* Mouri Teru	てる	Female
* Kikkawa Kiku	きく	Female
* Kobayakawa Chinu	ちぬ	Female
* Kurobe	黒部	Male
* Dokuganryuu Masamune	政宗	Male
* Nogiku	野菊	Female
* Noir	ノワール	Female
* Orime	折女	Female
* Omachi	お町	Female
* Miracle Tor	ミラクル	Female
* Lucy Julietta	ルーシー	Female
* Mi Lordring	ロードリング	Male
* Battling Centers	ＢＳ	Male
* Crook Mofus	クルックー	Female
* Pastel Kalar	パステル	Female
* Reset Kalar	リセット	Female
* Lei	レイ	Male
* Mary Ann	メアリー	Female
* Galtia	ガルティア	Male
* Heidi Pankrau	ハイジ	Female
* Pi-R	パイアールロボ	Male
* Root Ari	ルート	Female
* Flame Scrivener	火炎書士	Female
* La Hawzel	ハウゼル	Female
* La Seizel	サイゼル	Female
* Yuki	ユキ	Female
* Silky Littleraisin	シルキィ	Female
* Hornet	ホーネット	Female
* Satella	サテラ	Female
* Patton Helman	パットン	Male
* Hunty Kalar	ハンティ	Female
* Rocky Bank	ロッキー	Male
* Caloria Cricket	カロリア	Female
* Atago McCart	アタゴ	Female
* Tokugawa Sen	千姫	Male/Female
* Princess Hitachi	日立姫	Female
* Prince Toshiba	東芝王子	Male
* King Mitsubishi	三菱王	Male
* King Mantetsu	満鉄王	Male
* Ogawa Kentarou	健太郎	Male
* Nikkou	日光刀	Female
* Crane	クレイン	Female
* Sachiko Centers	サチコ	Female

35977	Rance	「おーっす。どうだ？」	「Yo. How's it going?」

35978	-	その朝。	That morning.
35979	+	ランスは普段通りの様子で、司令部に姿を見せた。	Rance appeared at the command center as usual.

35980	Arlcoate Marius	「あ、お、おはようございます、おじ様」	「Ah, g-good morning, Uncle.」

35981	Urza Pranaice	「例の作戦の準備、整いました。	「Preparations for that operation are complete.
35982	+	　いつでもいけます、が……」	　We can go anytime, but...」

35983	Rance	「なんだ、どうかしたのか？」	「What? Something wrong?」

35984	Cream Ganoblade	「いえ、その……本当に、実行なさるのですか？」	「No, it's just... are you really going to do it?」

35985	Rance	「当たり前だ。これしかない。	「Of course. This is the only way.
35986	+	　これが一番面白そうだからな！　がーっははは！」	　And it looks the most fun! Gahahaha!」

35987	Cream Ganoblade	「おっ、面白、っ……！」	「O-oh, fun...!」

35988	Urza Pranaice	「…………分かりました。	「............Understood.
35989	+	　でしたら、時間との勝負ですね」	　Then it's a race against time.」

35990	Rance	「おう。俺様の配下を呼べ。全員だ！」	「Yeah. Call all my subordinates! Everyone!」

35991	-	ランス城に、世界中の主立った人物が	Key figures from around the world
35992	+	残らず集結した。	gathered at Rance Castle.

35993	Lia Parapara Leazas	「はーーーーーいっ！	「Heeeeeeey!
35994	+	　来ったよーっ、ダーーーーリーーーン！」	　I'm heeeeere, Daaaaarling!」

35995	Maris Amaryllis	「リーザスの諸将も、到着しています」	「The generals of Leazas have also arrived.」

35996	Ex Banquet	「さて……どう見ますか？」	「So... what do you think?」

35997	Barres Province	「ふむ……この盤上、容易い局面ではないが……	「Hmm... this board isn't an easy position...
35998	+	　ランス殿は、どう打たれるか……」	　How will Lord Rance play it...」

35999	Rick Addison	「状況は厳しいですが……少し、楽しみですね」	「The situation is tough... but I'm a bit excited.」

36000	Menad Shisei	「ランス……何か聞いてる？	「Rance... Are you listening?
36001	+	　かなみちゃん」	　Kanami-chan.」

36002	Kentou Kanami	「ううん、知らない……	「No, I don't know...
36003	+	　何か、色々調べさせてたのは知ってるけど……」	　I know he had her investigating a lot of things, but...」

36004	Menad Shisei	「そっか。	「I see.
36005	+	　でも……大丈夫だよ、ランスなら」	　But... it'll be fine if it's Rance.」

36006	Kentou Kanami	「う、うん……そう、だよね」	「Y-yeah... That's right.」

36007	Sheila Helman	「あの……闘将もこちらに入れて	「Um... Is it okay to have the Tousho here too?」
36008	+	　大丈夫でしょうか？」	

36009	Biscuitta Burns	「人のサイズをされている方々でしたら。	「As long as they are human-sized.
36010	+	　それ以上でしたら、中庭にお願いいたします」	　If they are bigger, please use the courtyard.」

36011	Peruele Kalette	「まったく、変なのが増えたったら……	「Geez, we've got even more weirdos now...
36012	+	　あれ、将軍さん？　どこ行ってたの」	　Huh, General? Where were you?」

36013	Hubert Lipton	「昔、世話んなったドラゴンがいたんでな。	「There was a dragon I took care of a long time ago.
36014	+	　表でちょっと挨拶だ」	　I just went out to say hello.」

36015	Rolex Gadras	「意外と顔広いな、うちの司令官殿は」	「Our commander has quite the wide network.」

36016	Oruore the 3rd	「そうっすねぇ。物理的な広さだと、	「Yeah. In terms of physical size though,
36017	+	　パットンさんにゃ負けますけど」	　Patton wins.」

36018	Amitos Armitage	「この面々…………決戦、か……」	「With this lineup............ it's the final battle, huh...」

36019	Magic the Gandhi	「…………完全に空けて来ちゃったけど、	「............I completely cleared my schedule to come,
36020	+	　大丈夫かな……」	　I hope it'll be okay...」

36021	Yamada Chizuko	「一応、定期報告は受けてるし、	「We've been getting regular reports at least,
36022	+	　残存兵力でしばらくは大丈夫……な、計算よ」	　and with our remaining forces we should be fine for a while... or so the calculations say.」

36023	Magic the Gandhi	「ん……何かあったら、すぐ教えてね」	「Yeah... Let me know right away if anything happens.」

36024	Uspira Shintou	「この戦況を覆す、話……かしら」	「A plan to turn this war situation around... I wonder.」

36025	Saias Crown	「ま、これだけ徹底的に集めたんだ。	「Well, we've gathered this thoroughly.
36026	+	　コンパの誘いとかじゃないだろうさ」	　It's not just an invitation to a party or something.」

36027	Kabachahn the Lightning	「さて…………」	「Now then............」

36028	Ragnarokarc Super Gandhi	「おおおぉ、素晴らしい……なんという光景か……」	「Oooooh, magnificent... What a sight this is...」

36029	-	はらはらと、ガンジーは感涙を拭おうともせず、	Tears streaming down his face, Gandhi didn't even bother to wipe them,
36030	+	周囲を見渡した。	and looked around at the scene.

36031	Wichita Skate	「ガンジー様？」	「Lord Gandhi?」

36032	Ragnarokarc Super Gandhi	「見るのだ、スケさん、カクさん。	「Look, Suke-san, Kaku-san.
36033	+	　未来を切り開くために、	　For the sake of carving open the future,
36034	+	　今、人類がひとつになっている……」	　humanity has become one right now...」

36035	Kaoru Quincy Kagura	「はい……ガンジー様の悲願でございましたね……」	「Yes... It was Lord Gandhi's long-cherished wish...」

36036	Ragnarokarc Super Gandhi	「うむ……人類全てが団結するのだ。	「Indeed... All of humanity is united.
36037	+	　どのような敵にも……負けはすまい」	　No matter what enemy we face... we shall not lose.」

36038	Copandon Dott	「……ああ、うん。どう？	「...Yeah, uh-huh. How is it?
36039	+	　うん、じゃあそうしといて。…………ふう」	　Okay, then do that. ........Haa.」

36040	Eleanor Ran	「魔法電話ですか？　先ほどから……」	「A magic phone call? You've been on it for a while now...」

36041	Copandon Dott	「ああ、ごめんなあ。	「Ah, sorry about that.
36042	+	　この作戦絡みで、ちょっとなあ」	　It's related to this operation.」

36043	Nagi su Ragarl	「あ！　なんか知ってんのコパンドンお姉ちゃん！」	「Ah! Big sis Copandon knows something!」

36044	Masou Shizuka	「あいつに何か言われてたとか……そういう事？」	「Did someone say something to her... Is that it?」

36045	Copandon Dott	「ネタバレは無しや。すぐに分かる」	「No spoilers. You'll find out soon.」

36046	Maria Custard	「ふわ……ごめん、カスミ……	「Fwaa... Sorry, Kasumi...
36047	+	　目覚ましガム、残ってない……？	　You got any more wake-up gum...?
36048	+	　こっち、なくなっちゃった……」	　I'm all out over here...」

36049	Kasumi K. Kasumi	「はい、余分に用意しておきましたから。	「Here, I prepared extras.
36050	+	　お疲れ様でした、工場長……」	　Good work, factory chief...」

36051	Maria Custard	「んー、あんがと……	「Mmm, thanks...
36052	+	　ああ、段々効かなくなってるぅ……」	　Ah, it's starting to lose its effect...」

36053	Masou Shizuka~	（そういえば、ここ数日……ううん、しばらく、	（Now that I think about it, these past few days... no, for a while now,
36054	+	　マリアも徹夜続きみたいだったし……）	　Maria has been pulling all-nighters too...）

36055	Naoe Ai	「どうしたんですか、謙信様。	「What's wrong, Kenshin-sama?
36056	+	　そわそわしていますよ」	　You're fidgeting a lot.」

36057	Uesugi Kenshin	「む……いや、さっき、厨房の前を	「Mu... No, earlier I happened to pass by the kitchen...」
36058	+	　通りがかってしまってな……」	

36059	Naoe Ai	「ああ…………お腹が空きましたか……」	「Ah............ Are you hungry...?」

36060	Oda Kouhime	「あの、おにぎりだけでも作ってきましょうか」	「Should I quickly make some rice balls at least?」

36061	Uesugi Kenshin	「いや、あの方の作戦が遅れてしまう。	「No, that would delay the operation.
36062	+	　お気持ちだけ頂く」	　I'll just take the thought.」

36063	Naoe Ai	「………………」	「............」

36064	Uesugi Kenshin	「………………そわそわそわ……」	「............Fidget fidget fidget...」

36065	Naoe Ai	「……ほら、米ガム噛んでなさい」	「...Here, chew this rice gum.」

36066	Mouri Teru	「くくく……匂う、匂うぞ…………」	「Hehehe... I smell it, I smell it...」

36067	Kikkawa Kiku	「あぁ……いくさの匂いだ。	「Ah... The scent of war.
36068	+	　それも、ドデカイ奴だ」	　And a really huge one at that.」

36069	Kobayakawa Chinu	「あは……☆	「Aha...☆
36070	+	　じゃあ、きっとみんなでパーティね☆」	　Then it's definitely a big party for everyone☆」

36071	Kurobe	「うひゃーー……人間でぎっしりだ」	「Uhyaa... It's packed full of humans.」

36072	Dokuganryuu Masamune	「それも、精鋭や指揮官ばかり……か。	「And they're all elites and commanders... huh.
36073	+	　いつかを思い出すな」	　Reminds me of that time.」

36074	Nogiku	「せ、戦争……でしょうか。	「I-is this... war?
36075	+	　いえ、散々やってはいるんですけど……」	　Well, we've done plenty already, but...」

36076	Noir	「魔軍……ウザい。数多すぎ。	「The Monster Army... So annoying. Way too many of them.
36077	+	　作戦って言っても……」	　Even if it's an operation...」

