# 31060	２３１／戦闘／ランス活躍２	
* Rance	ランス	Male
* Medusa	メディウサ	Female
* Alefgard	アレフガルド	Male
* Pigu Geliciam	ピグ	Female
* Athena 2.0	あてな２号	Female

48533	Rance	怒り	「どうだ、ヘビ女！　喰らえ！」	「How's that, snake woman! Take this!」

48534	Medusa	基本	「くっ……！　まずい、ッ……！」	「Kuh...! This is bad...!」

48535	Medusa~		（殺しておくべきだった……！	（I should have killed him...!
48536	+		　こんな、こんな人間がいるなんてっ……！）	　How can such a human exist...!）

48537	Medusa		「ああもう、あいつこんな時に、どこへ……！」	「Aah, where is that guy at a time like this...!」

48538	Alefgard	うむむ	「むっ！」	「Mu!」

48539	Alefgard		「ああいかん、分かる、これはお嬢様の危機……！	「Oh no, I sense it, this is my mistress's crisis...!
48540	+		　すぐに駆けつけ……」	　I must go immediately...」

48541	Pigu Geliciam	分裂２	「ねぇねぇ、といれどこー？」	「Hey hey, where's the toilet?」

48542	Alefgard	うむむ	「さっき行きましたでしょう！？」	「You just went, didn't you!?」

48543	Pigu Geliciam	風船／考え	「それは私」	「That was me」

48544	Pigu Geliciam	ピグコプター／乗り気でない	「その前は私」	「Before that was me」

48545	Alefgard	うむむ	「ぬぬぬぬぬ！」	「Nunununu!」

48546	Pigu Geliciam	分裂２	「今も15人のピグが行列待ち。	「Right now 15 Pigus are waiting in line.
48547	+		　他のトイレ、ある？　案内して」	　Any other toilets? Guide us.」

48548	Alefgard	うむむ	「それはございますが……	「There are, but...
48549	+		　くう、分かりました、案内を……」	　Sigh, understood, I'll guide you...」

48550	Athena 2.0	基本	「ひつじーーーーー！	「Sheepyーーー!
48551	+		　トイレ流れないよーーー」	　The toilet won't flushーーー」

48552	Alefgard	うむむ	「ああもうーーーーーー！」	「Aah geezーーー!」

48553	-		アレフガルドは、手間取っていた。	Alefgard was completely tied up.
